county_fips,county_name,annual_living_wage,housing,food,transportation,healthcare,other_necessities,childcare,taxes
04013,"Maricopa County, AZ",57458,18475,4131,12126,4826,7018,0,10881
06001,"Alameda County, CA",74458,23230,5019,13001,6856,8771,0,17580
06037,"Los Angeles County, CA",66335,22272,4408,12042,4775,8283,0,14555
06073,"San Diego County, CA",77560,25740,4431,13452,5777,9367,0,18793
06083,"Santa Barbara County, CA",87248,28572,4408,13814,7606,10239,0,22609
06085,"Santa Clara County, CA",91359,31296,4973,13666,6038,11261,0,24125
06087,"Santa Cruz County, CA",105985,36672,5631,13840,6747,13134,0,29961
08013,"Boulder County, CO",59460,17592,5135,12407,4987,7056,0,12284
09009,"New Haven County, CT",59923,15682,4662,12433,7935,6316,0,12895
11001,"District of Columbia, DC",70853,22995,5435,10102,6899,8827,0,16596
12001,"Alachua County, FL",51125,14225,4639,11973,6270,5856,0,8162
13121,"Fulton County, GA",64893,19899,5112,11032,6195,7765,0,14890
17019,"Champaign County, IL",49492,10865,4189,11288,8302,4674,0,10175
17031,"Cook County, IL",55399,17178,4662,10077,4971,6781,0,11731
18141,"St. Joseph County, IN",41814,9012,4027,12171,5005,4048,0,7550
18157,"Tippecanoe County, IN",43020,10020,3958,11972,4903,4340,0,7827
20161,"Riley County, KS",45684,9746,4766,12025,5787,4505,0,8856
24033,"Prince George's County, MD",65933,21313,4558,12835,4290,8032,0,14905
24510,"Baltimore City, MD",47862,13748,4939,9623,4290,5802,0,9460
25015,"Hampshire County, MA",55758,14544,5169,13275,5148,6120,0,11501
25017,"Middlesex County, MA",78681,26884,5054,12598,4956,9916,0,19273
25025,"Suffolk County, MA",81765,27925,5077,13132,5033,10246,0,20352
26065,"Ingham County, MI",43319,10486,4223,11532,4889,4567,0,7621
26161,"Washtenaw County, MI",53656,15924,4581,12334,4914,6366,0,9537
27053,"Hennepin County, MN",51789,15006,5123,11388,4256,6249,0,9767
29189,"St. Louis County, MO",48272,12328,4731,11710,4996,5296,0,9210
34013,"Essex County, NJ",58196,17239,5019,12254,5580,6911,0,11193
34017,"Hudson County, NJ",67838,23988,4246,10792,5580,8766,0,14465
34021,"Mercer County, NJ",57155,16692,4662,12742,5580,6630,0,10849
36029,"Erie County, NY",48953,11916,4569,11442,6043,5118,0,9864
36047,"Kings County, NY",79835,28284,5054,6954,8992,10351,0,20201
36055,"Monroe County, NY",52048,12544,4535,11765,7243,5302,0,10659
36061,"New York County, NY",94283,33802,7027,6480,8992,12676,0,25306
36103,"Suffolk County, NY",76740,22152,4777,14309,8055,8361,0,19086
36109,"Tompkins County, NY",63361,15840,4858,12278,9599,6426,0,14360
37063,"Durham County, NC",62280,19037,4477,12210,5548,7300,0,13708
37135,"Orange County, NC",63711,18660,5123,12800,5548,7384,0,14195
37183,"Wake County, NC",64269,19367,4685,12956,5407,7467,0,14387
39049,"Franklin County, OH",48355,13465,4304,11124,5436,5517,0,8510
41039,"Lane County, OR",52865,12720,4546,12054,6152,5361,0,12031
42003,"Allegheny County, PA",46863,12944,4708,10967,3989,5481,0,8773
42027,"Centre County, PA",54550,14712,4500,13290,5560,5965,0,10522
42095,"Northampton County, PA",49696,12682,4558,12368,5318,5352,0,9418
42101,"Philadelphia County, PA",48976,15326,4569,9761,3888,6177,0,9254
44007,"Providence County, RI",49510,14348,4673,10929,4480,5905,0,9175
47037,"Davidson County, TN",59955,19500,4754,11532,6221,7530,0,10417
47093,"Knox County, TN",53246,15842,4604,12369,5489,6348,0,8594
48041,"Brazos County, TX",46364,12654,3773,11776,5835,5100,0,7226
48113,"Dallas County, TX",53517,17411,3969,11428,5406,6638,0,8666
48201,"Harris County, TX",47739,14328,3808,11735,4740,5631,0,7496
48453,"Travis County, TX",57286,18910,4108,11831,5609,7146,0,9681
49035,"Salt Lake County, UT",54946,14916,4269,12598,5825,5957,0,11381
51540,"Charlottesville City, VA",55984,16258,5400,10901,4839,6724,0,11861
51830,"Williamsburg City, VA",55757,16890,4904,10812,4599,6766,0,11785
53033,"King County, WA",73455,27361,5169,11684,4800,10100,0,14340
55025,"Dane County, WI",49743,12960,4639,12322,4635,5464,0,9724
51059,"Fairfax County, VA",78786,26989,5169,12360,4476,9984,0,19808
