institution,note
"Arizona State University","CSE students under RA may have higher stipend than university minimum. CPT fees ~$1,500 per credit"
"Carnegie Mellon University","Summer funding handled by each department separately; not guaranteed across SCS"
"New Jersey Institute of Technology","Health insurance auto-credited for UCAN union members. Calendar year includes summer; 1st-year students start September"
"Northwestern University","$1,000 extra during first quarter for moving/starting costs"
"Ohio State University","TAs with English proficiency issues receive lower rate; ABD students receive higher rate"
"Univ. of California - Berkeley","Minimum guaranteed ~$34,192; majority receive ~$52,017. Advisors may supplement above minimum"
"Univ. of California - Santa Cruz","Summer funding not guaranteed but de facto every student supported in summer"
"University of Chicago","Union contract ratification pending; stipend expected to increase to ~$45,000"
"University of Maryland - College Park","80% of summer-enrolled students get ≥30h/week GRA appointments"
"University of Massachusetts Amherst","Summer funding guaranteed for first summer only; after that fall/spring only. Unionized (GEO-UAW)"
"University of Tennessee - Knoxville","0 state income tax; low cost of living area"
"University of Utah","Health insurance 100% covered since Fall 2023. Differential tuition covered since Fall 2022. ~$300 annual fees out of pocket"
"University of Washington (CSE)","Guaranteed RA/TA first 3 academic years only. Summer funding not guaranteed but doubling pay common"
"University of Wisconsin - Madison","Some students admitted with stipend guarantee (never summer), some without. No MS/PhD differentiation in admission"
