institution, pre_qual stipend, after_qual stipend, fee, public/private, labels, pre_qual summer, after_qual summer, pre_qual verified, post_qual verified
"University of Michigan", 36072, 36072, 0, public, summer-gtd varies, 12024, 12024, Y12, Y12
"Univ. of Illinois at Urbana-Champaign (CSE)", 38850, 40854, 1266, public, summer-no-gtd, Unknown, Unknown, Yes, Yes
"Univ. of Illinois at Urbana-Champaign (ECE)", 33456, 35760, 1266, public, summer-no-gtd, Unknown, Unknown, No, No
"Georgia Institute of Technology", 40800, 40800, 3081, public, summer-unknown, Unknown, Unknown, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/141, No
"Harvard University", 42588, 42588, 0, private, summer-gtd, Unknown, Unknown, No, No
"University of Wisconsin - Madison", 34067, 36074, 2980, public, summer-no-gtd no-guarantee cpt-fee, 8512, 9019, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/88, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/88
"Rice University", 41543, 41543, 730, private, summer-gtd, 10386, 10386, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/196, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/196
"Stanford University", 52560, 52560, 0, private, summer-gtd, Unknown, Unknown, No, No
"University of Virginia", 33072, 35334, 0, public, summer-gtd, 11024, 11778, Yes, Yes
"Univ. of California - Santa Cruz", 58240, 60565, 0, public, summer-no-gtd, 22484, 24226, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/130, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/130
"Stony Brook University", 39000, 39000, 165, public, summer-no-gtd cpt-fee, 13000, 13000, No, No
"University of Rochester (CS)", 41011, 41011, 0, private, summer-gtd cpt-fee, 9192, 9192, No, No
"University of Utah", 34248, 35448, 300, public, summer-no-gtd varies, 8562, 8862, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/74, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/74
"Purdue University (CS)", 25852, 25852, 1482, public, summer-unknown, Unknown, Unknown, No, No
"Purdue University (ECE)", 26400, 26400, 1482, public, summer-unknown, Unknown, Unknown, No, No
"Yale University", 52046, 52046, 0, private, summer-unknown, Unknown, Unknown, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/152, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/152
"University of Chicago", 43600, 43600, 0, private, summer-gtd, Unknown, Unknown, No, No
"Northeastern University", 50000, 50000, 869, private, summer-unknown, Unknown, Unknown, No, No
"Univ. of California - Santa Barbara", 40000, 40000, 0, public, summer-unknown, Unknown, Unknown, No, No
"Brown University", 52198, 52198, 0, private, summer-gtd, 13050, 13050, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/132, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/132
"New York University (Tandon)", 40800, 40800, 0, private, summer-unknown varies, Unknown, Unknown, No, No
"Cornell University", 43326, 43326, 0, private, summer-unknown, Unknown, Unknown, No, No
"Princeton University", 54216, 54216, 0, private, summer-unknown, Unknown, Unknown, No, No
"Northwestern University", 46356, 46356, 0, private, summer-gtd, 12938, 12938, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/134, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/134
"New York University (Courant)", 48036, 48036, 0, private, summer-unknown, Unknown, Unknown, No, No
"Johns Hopkins University", 52000, 52000, 0, private, summer-no-gtd, Unknown, Unknown, No, No
"University of Texas at Austin (ECE)", 31600, 31600, 0, public, summer-unknown, Unknown, Unknown, No, No
"University of Texas at Austin (CS)", 38400, 38400, 0, public, summer-unknown, Unknown, Unknown, No, No
"Boston University", 44290, 44290, 0, private, summer-unknown, Unknown, Unknown, No, No
"University of Southern California", 45000, 45000, 0, private, summer-unknown, Unknown, Unknown, No, No
"University of North Carolina", 42931, 42931, 0, public, summer-gtd, Unknown, Unknown, Yes, Yes
"Ohio State University", 34764, 34764, 1054, public, summer-no-gtd, 11588, 11588, Yes https://gradsch.osu.edu/news/2026/01/23/minimum-graduate-associate-and-fellowship-stipend-increase-2026, Yes https://gradsch.osu.edu/news/2026/01/23/minimum-graduate-associate-and-fellowship-stipend-increase-2026
"Carnegie Mellon University", 42900, 42900, 0, private, summer-no-gtd, Unknown, Unknown, No, No
"North Carolina State University", 31200, 31200, 4106, public, summer-no-gtd cpt-fee, 7800, 7800, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/90, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/90
"Lehigh University", 29400, 29400, 0, private, summer-unknown, Unknown, Unknown, No, No
"Pennsylvania State University", 30928, 30928, 0, public, summer-unknown, Unknown, Unknown, No, No
"Massachusetts Institute of Technology", 46548, 50016, 396, private, summer-unknown cpt-fee, Unknown, Unknown, No, No
"University of Notre Dame", 41400, 41400, 0, private, summer-gtd, 13332, 13332, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/133, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/133
"University of Washington (CSE)", 46844, 48608, 789, public, summer-no-gtd varies, 16730, 17360, Yes https://grad.uw.edu/wp-content/uploads/2022-23-RA_salary_chart.pdf, Yes https://grad.uw.edu/wp-content/uploads/2022-23-RA_salary_chart.pdf
