institution,county_fips,county,state,address,reference_link
University of Michigan,26161,Washtenaw County,MI,"500 S State St, Ann Arbor, MI 48109",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=500+S+State+St%2C+Ann+Arbor%2C+MI+48109&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Univ. of Illinois at Urbana-Champaign (CSE),17019,Champaign County,IL,"1308 W Green St, Urbana, IL 61801",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1308+W+Green+St%2C+Urbana%2C+IL+61801&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Univ. of Illinois at Urbana-Champaign (ECE),17019,Champaign County,IL,"1308 W Green St, Urbana, IL 61801",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1308+W+Green+St%2C+Urbana%2C+IL+61801&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Georgia Institute of Technology,13121,Fulton County,GA,"225 North Ave NW, Atlanta, GA 30332",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=225+North+Ave+NW%2C+Atlanta%2C+GA+30332&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Harvard University,25017,Middlesex County,MA,"1350 Massachusetts Ave, Cambridge, MA 02138",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1350+Massachusetts+Ave%2C+Cambridge%2C+MA+02138&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Wisconsin - Madison,55025,Dane County,WI,"500 Lincoln Dr, Madison, WI 53706",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=500+Lincoln+Dr%2C+Madison%2C+WI+53706&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Rice University,48201,Harris County,TX,"6100 Main St, Houston, TX 77005",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=6100+Main+St%2C+Houston%2C+TX+77005&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Stanford University,06085,Santa Clara County,CA,"450 Serra Mall, Stanford, CA 94305",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=450+Serra+Mall%2C+Stanford%2C+CA+94305&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Virginia,51540,Charlottesville City,VA,"1827 University Ave, Charlottesville, VA 22903",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1827+University+Ave%2C+Charlottesville%2C+VA+22903&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Univ. of California - Santa Cruz,06087,Santa Cruz County,CA,"1156 High St, Santa Cruz, CA 95064",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1156+High+St%2C+Santa+Cruz%2C+CA+95064&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Stony Brook University,36103,Suffolk County,NY,"100 Nicolls Rd, Stony Brook, NY 11794",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=100+Nicolls+Rd%2C+Stony+Brook%2C+NY+11794&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Rochester (CS),36055,Monroe County,NY,"601 Elmwood Ave, Rochester, NY 14642",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=601+Elmwood+Ave%2C+Rochester%2C+NY+14642&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Utah,49035,Salt Lake County,UT,"201 Presidents Cir, Salt Lake City, UT 84112",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=201+Presidents+Cir%2C+Salt+Lake+City%2C+UT+84112&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Purdue University (CS),18157,Tippecanoe County,IN,"155 S Grant St, West Lafayette, IN 47907",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=155+S+Grant+St%2C+West+Lafayette%2C+IN+47907&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Purdue University (ECE),18157,Tippecanoe County,IN,"155 S Grant St, West Lafayette, IN 47907",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=155+S+Grant+St%2C+West+Lafayette%2C+IN+47907&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Yale University,09009,New Haven County,CT,"38 Hillhouse Ave, New Haven, CT 06511",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=38+Hillhouse+Ave%2C+New+Haven%2C+CT+06511&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json
University of Chicago,17031,Cook County,IL,"5801 S Ellis Ave, Chicago, IL 60637",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=5801+S+Ellis+Ave%2C+Chicago%2C+IL+60637&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Northeastern University,25025,Suffolk County,MA,"360 Huntington Ave, Boston, MA 02115",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=360+Huntington+Ave%2C+Boston%2C+MA+02115&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Univ. of California - Santa Barbara,06083,Santa Barbara County,CA,"552 University Rd, Santa Barbara, CA 93106",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=552+University+Rd%2C+Santa+Barbara%2C+CA+93106&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Brown University,44007,Providence County,RI,"1 Prospect St, Providence, RI 02912",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1+Prospect+St%2C+Providence%2C+RI+02912&benchmark=Public_AR_Current&vintage=Current_Current&format=json
New York University (Tandon),36047,Kings County,NY,"6 MetroTech Center, Brooklyn, NY 11201",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=6+MetroTech+Center%2C+Brooklyn%2C+NY+11201&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Cornell University,36109,Tompkins County,NY,"616 Thurston Ave, Ithaca, NY 14853",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=616+Thurston+Ave%2C+Ithaca%2C+NY+14853&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Princeton University,34021,Mercer County,NJ,"87 Prospect Ave, Princeton, NJ 08540",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=87+Prospect+Ave%2C+Princeton%2C+NJ+08540&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Northwestern University,17031,Cook County,IL,"2145 Sheridan Rd, Evanston, IL 60208",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=2145+Sheridan+Rd%2C+Evanston%2C+IL+60208&benchmark=Public_AR_Current&vintage=Current_Current&format=json
New York University (Courant),36061,New York County,NY,"251 Mercer St, New York, NY 10012",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=251+Mercer+St%2C+New+York%2C+NY+10012&benchmark=Public_AR_Current&vintage=Current_Current&format=json
Johns Hopkins University,24510,Baltimore City,MD,"3400 N Charles St, Baltimore, MD 21218",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=3400+N+Charles+St%2C+Baltimore%2C+MD+21218&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Texas at Austin (ECE),48453,Travis County,TX,"2317 Speedway, Austin, TX 78712",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=2317+Speedway%2C+Austin%2C+TX+78712&benchmark=Public_AR_Current&vintage=Current_Current&format=json
University of Texas at Austin (CS),48453,Travis County,TX,"2317 Speedway, Austin, TX 78712",https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=2317+Speedway%2C+Austin%2C+TX+78712&benchmark=Public_AR_Current&vintage=Current_Current&format=json
